Title,Lending rates; Small business; Variable; Term,Lending rates; Small business; Variable; Overdraft,Lending rates; Housing loans; Banks; Variable; Standard; Owner-occupier,Lending rates; Housing loans; Banks; Variable; Discounted; Owner-occupier,Lending rates; Housing loans; Banks; Variable; Standard interest-only; Owner-occupier,Lending rates; Housing loans; Banks; 3-year fixed; Owner-occupier,Lending rates; Housing loans; Banks; Variable; Standard; Investor,Lending rates; Housing loans; Banks; Variable; Discounted; Investor,Lending rates; Housing loans; Banks; Variable; Standard interest-only; Investor,Lending rates; Housing loans; Banks; 3-year fixed; Investor,Lending rates; Personal loans; Revolving credit; Credit cards; Standard,Lending rates; Personal loans; Revolving credit; Credit cards; Low rate,Lending rates; Small business; Variable; Other; Term,Lending rates; Small business; Variable; Residential-secured; Overdraft,Lending rates; Small business; Variable; Small overdraft,Lending rates; Small business; Variable; Weighted-average rate on credit outstanding,Lending rates; Small business; 3-year fixed,Lending rates; Large business; Weighted-average rate on credit outstanding; Variable,Lending rates; Large business; Weighted-average rate on credit outstanding; Bills,Lending rates; Personal loans; Term loans (unsecured); Fixed,Lending rates; Personal loans; Term loans (unsecured); Variable,Lending rates; Personal loans; Revolving credit; Home equity loans,Lending rates; Personal loans; Revolving credit; Margin loans,Lending rates; Housing loans; Mortgage managers; Variable; Standard,Lending rates; Housing loans; Mortgage managers; Variable; Basic,Lending rates; Securitised housing loans; Average outstanding variable rate,Lending rates; Securitised housing loans; Average outstanding variable rate; Owner-occupier; Principal & Interest,Lending rates; Securitised housing loans; Average outstanding variable rate; Owner-occupier; Interest Only,Lending rates; Securitised housing loans; Average outstanding variable rate; Investor; Principal & Interest,Lending rates; Securitised housing loans; Average outstanding variable rate; Investor; Interest Only
Description,Lending rates; Small business; Variable; Term,Lending rates; Small business; Variable; Overdraft,Lending rates; Housing loans; Banks; Variable; Standard; Owner-occupier,Lending rates; Housing loans; Banks; Variable; Discounted; Owner-occupier,Lending rates; Housing loans; Banks; Variable; Standard interest-only; Owner-occupier,Lending rates; Housing loans; Banks; 3-year fixed; Owner-occupier,Lending rates; Housing loans; Banks; Variable; Standard; Investor,Lending rates; Housing loans; Banks; Variable; Discounted; Investor,Lending rates; Housing loans; Banks; Variable; Standard interest-only; Investor,Lending rates; Housing loans; Banks; 3-year fixed; Investor,Lending rates; Personal loans; Revolving credit; Credit cards; Standard rate,Lending rates; Personal loans; Revolving credit; Credit cards; Low rate,Lending rates; Small business; Variable; Other; Term – For series breaks see Series Breaks,Lending rates; Small business; Variable; Residential-secured; Overdraft – For series breaks see Series Breaks,Lending rates; Small business; Variable; Small overdraft – For series breaks see Series Breaks,Lending rates; Small business; Variable; Weighted-average rate on credit outstanding – For series breaks see Series Breaks,Lending rates; Small business; 3-year fixed – For series breaks see Series Breaks,Lending rates; Large business; Weighted-average rate on credit outstanding; Variable,Lending rates; Large business; Weighted-average rate on credit outstanding; Bills,Lending rates; Personal loans; Term loans (unsecured); Fixed – For series breaks see Series Breaks,Lending rates; Personal loans; Term loans (unsecured); Variable,Lending rates; Personal loans; Revolving credit; Home equity loans,Lending rates; Personal loans; Revolving credit; Margin loans,Lending rates; Housing loans; Mortgage managers; Variable; Standard,Lending rates; Housing loans; Mortgage managers; Variable; Basic,Lending rates; Securitised housing loans; Average outstanding variable rate,Lending rates; Securitised housing loans; Average outstanding variable rate; Owner-occupier; Principal & Interest,Lending rates; Securitised housing loans; Average outstanding variable rate; Owner-occupier; Interest Only,Lending rates; Securitised housing loans; Average outstanding variable rate; Investor; Principal & Interest,Lending rates; Securitised housing loans; Average outstanding variable rate; Investor; Interest Only
Frequency,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly
Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Units,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,APRA,RBA,APRA,APRA,RBA,RBA,RBA,RBA,RBA,RBA,RBA; Securitisation System,RBA; Securitisation System,RBA; Securitisation System,RBA; Securitisation System,RBA; Securitisation System
Publication date,11-Jan-24,11-Jan-24,11-Jan-24,11-Jan-24,11-Jan-24,11-Jan-24,11-Jan-24,11-Jan-24,11-Jan-24,11-Jan-24,11-Jan-24,11-Jan-24,11-Jan-24,11-Jan-24,11-Jan-24,11-Jan-24,11-Jan-24,11-Jan-24,11-Jan-24,11-Jan-24,11-Jan-24,11-Jan-24,11-Jan-24,11-Jan-24,11-Jan-24,11-Jan-24,11-Jan-24,11-Jan-24,11-Jan-24,11-Jan-24
Series ID,FILRSBVRT,FILRSBVOO,FILRHLBVS,FILRHLBVD,FILRHLBVO,FILRHL3YF,FILRHLBVSI,FILRHLBVDI,FILRHLBVDO,FILRHL3YFI,FILRPLRCCS,FILRPLRCCL,FILRSBVOT,FILRSBVRO,FILRSBVSO,FILRSBVWA,FILRSB3YF,FILRLBWAV,FILRLBWAB,FILRPLTUF,FILRPLTUV,FILRPLRCHE,FILRPLRCML,FILRHLMMS,FILRHLMMB,FILRSAVR,FILRSAVOPI,FILRSAVOI,FILRSAVIPI,FILRSAVIIO
Jan-2015,7.1,8.95,5.93,5.08,,5.08,,,,,19.77,13.21,7.97,7.97,9.29,,5.74,,,14.08,14.28,6.08,7.77,5.72,4.89,,,,,
Feb-2015,6.85,8.76,5.67,4.82,,4.8,,,,,19.77,12.97,7.78,7.72,9.17,,5.58,,,14.08,14.29,5.82,7.61,5.57,4.69,,,,,
Mar-2015,6.85,8.7,5.67,4.82,,4.8,,,,,19.77,12.97,7.72,7.72,9.04,6.36,5.29,4.28,4.15,14.08,14.29,5.82,7.53,5.57,4.65,,,,,
Apr-2015,6.85,8.7,5.67,4.82,,4.8,,,,,19.77,13.04,7.72,7.72,9.04,,5.37,,,14.08,14.09,5.82,7.53,5.57,4.61,,,,,
